Week,Domain,Activity1,Activity2,Activity3,Activity4
59,Cognitive,Find The Pair,Color Sorting,Treasure Hunt,Build Tower Challenge
60,Social & Emotional,Tickle Game,Pretend Cooking,Family Photo Talk,Thank You Practice
61,Sensory,Water Drip Watch,Texture Path Crawl,Water Splash,Rice Bin Dig
62,Self Help,Sock Removal,Place Book On Shelf,Towel Drying,Carry Small Bag
63,Gross Motor,Stair Crawling,Balance Line Walk,Rolling Reach,Bubble Stomp
64,Fine Motor,Rattle Grip,Sticker Peeling,Lid Open Close,Playdough Squeeze
65,Speech & Language,Simple Choice Question,Face Talking,Name That Toy,Echo Word Game
66,Cognitive,Treasure Hunt,Find The Pair,Category Sort,Simple Maze
67,Social & Emotional,Ball Turn Taking,Friend Doll Play,Tickle Game,Toy Sharing
68,Sensory,Baby Massage,Bubble Catch,Water Pouring,Grass Walk
69,Self Help,Put Cup On Table,Brushing Teeth,Wipe Table Try,Place Book On Shelf
70,Gross Motor,Toy Push Across Floor,Follow the Leader,Obstacle Walk,Chase the Balloon
71,Fine Motor,Sticker Peeling,Large Bead Threading,Flip Book Pages,Crayon Scribbling
72,Speech & Language,Name That Toy,Object Naming,Rhyming Sounds,Picture Book Talk
73,Cognitive,Hidden Toy Search,Shape Sorting,Category Sort,Counting Objects
74,Social & Emotional,Help Carry Toy,Give and Take,Sharing Snack,Hug Game
75,Sensory,Playdough Press,Grass Walk,Baby Massage,Ice Touch
76,Self Help,Put Toys In Box,Trash In Bin,Toy Shelf Return,Spoon In Sink
77,Gross Motor,Tummy Time,Push Walker Practice,Animal Walk Game,Marching Game
78,Fine Motor,Velcro Pull Game,Paper Crumple Game,Spoon Transfer,Paper Tear Play
79,Speech & Language,Object Request Game,Word Expansion,Emotion Naming,Object Naming
80,Cognitive,Simple Puzzle,Shadow Matching,Which Is Bigger,Cause Effect Toy
81,Social & Emotional,Emotion Face Game,Name Response,Role Play Shopping,Wave Hello
82,Sensory,Texture Basket,Water Drip Watch,Rice Bin Dig,Bubble Catch
83,Self Help,Toy Shelf Return,Fold Small Cloth,Nap Blanket Fold,Put Toys In Box
84,Gross Motor,Rolling Reach,Stair Crawling,Furniture Cruising,Dance Movement
85,Fine Motor,Paper Tear Play,Spoon Transfer,Button Push Toy,Stacking Cups
86,Speech & Language,Guess The Sound,Describe The Toy,Word Expansion,Picture Book Talk
87,Cognitive,Build Tower Challenge,Shape Sorting,Sorting Basket,Cause Effect Toy
88,Social & Emotional,Help Carry Toy,Emotion Story,Pretend Cooking,Hug Game
89,Sensory,Bubble Catch,Ice Touch,Water Splash,Wind Fan Play
90,Self Help,Snack Plate Carry,Carry Small Bag,Shoes Near Door,Simple Dressing
91,Gross Motor,Push Walker Practice,Animal Walk Game,Tiptoe Walk,Mini Hurdle Walk
92,Fine Motor,Button Push Toy,Large Bead Threading,Finger Painting,Peg Board Insert
93,Speech & Language,Animal Sound Game,Who Is That Game,Picture Pointing,Sing and Pause
94,Cognitive,Simple Puzzle,Pattern Clap,Sorting Basket,Pattern Copy
95,Social & Emotional,Clap Together,High Five Game,Toy Sharing,Emotion Story
96,Sensory,Rolling Ball Feel,Texture Walk,Baby Massage,Feather Touch
97,Self Help,Put Toys In Box,Spoon In Sink,Put Cup On Table,Cup Drinking
98,Gross Motor,Hop Like Bunny,Backward Walking,Toy Push Across Floor,Tunnel Crawl
99,Fine Motor,Paper Crumple Game,Block Stacking,Velcro Pull Game,Puzzle Placement
100,Speech & Language,Rhyming Sounds,Object Naming,Body Part Naming,Name That Toy
101,Cognitive,Stack Order Game,Shadow Matching,Sound Guess,Treasure Hunt
102,Social & Emotional,Hug Game,Goodbye Wave,Group Song Time,Greeting Practice
103,Sensory,Soft Brush Touch,Vibration Toy,Grass Walk,Bubble Pop
104,Self Help,Toy Shelf Return,Laundry Help,Put Cup On Table,Spoon In Sink
105,Gross Motor,Hop Like Bunny,Stair Crawling,Crawling Toy Chase,Ball Throw
106,Fine Motor,Sponge Squeeze,Cup Drop Game,Peg Board Insert,Spoon Transfer
107,Speech & Language,Repeat After Me,Name That Toy,Story Retelling,Body Part Naming
108,Cognitive,Shadow Matching,Matching Pictures,Toy Sequence,Treasure Hunt
109,Social & Emotional,Goodbye Wave,Dress Up Play,Wave Hello,Tickle Game
110,Sensory,Water Splash,Bottle Sound Shake,Sand Play,Water Drip Watch
111,Self Help,Trash In Bin,Put Toys In Box,Spoon Eating,Put Cup On Table
112,Gross Motor,Hop Like Bunny,Ball Kick Game,Dance Movement,Supported Sitting
113,Fine Motor,Sorting Small Objects,Tape Pull Game,Paper Tear Play,Paper Crumple Game
114,Speech & Language,Body Part Naming,Animal Sound Game,Describe The Toy,Simple Choice Question
115,Cognitive,Peekaboo,Two Step Task,Shape Sorting,Cause Effect Toy
116,Social & Emotional,Goodbye Wave,Family Photo Talk,Dress Up Play,Role Play Shopping
117,Sensory,Playdough Press,Wind Fan Play,Baby Massage,Texture Path Crawl
118,Self Help,Hold Napkin,Hand Washing,Hat On Off,Trash In Bin
119,Gross Motor,Tiptoe Walk,Ball Kick Game,Tunnel Crawl,Tummy Time
120,Fine Motor,Sorting Small Objects,Stacking Cups,Peg Board Insert,Pom Pom Pick Up
121,Speech & Language,Simple Choice Question,Talking Mirror,Animal Sound Game,Describe The Toy
122,Cognitive,What Is Missing,Color Sorting,Simple Puzzle,Category Sort
123,Social & Emotional,Tickle Game,Mirror Smile,Wave Hello,Sharing Snack
124,Sensory,Warm Water Dip,Bubble Catch,Water Pouring,Water Drip Watch
125,Self Help,Carry Small Bag,Water Bottle Drink,Laundry Help,Hold Napkin
126,Gross Motor,Balance Line Walk,Supported Sitting,Animal Walk Game,Ball Dribble Push
127,Fine Motor,Block Stacking,Tape Pull Game,Sponge Squeeze,Cloth Peg Pinch
128,Speech & Language,Simple Choice Question,Object Naming,Song Repetition,Word Expansion
129,Cognitive,Find The Pair,Pattern Clap,Treasure Hunt,Cup Hide Game
130,Social & Emotional,Friend Doll Play,Goodbye Wave,Pretend Feeding,Emotion Face Game
131,Sensory,Corn Flour Play,Grass Walk,Scent Smell Game,Foam Play
132,Self Help,Shoes Near Door,Put Cup On Table,Fold Small Cloth,Sock Removal
133,Gross Motor,Toy Push Across Floor,Follow the Leader,Run and Stop Game,Crawling Toy Chase
134,Fine Motor,Cloth Peg Pinch,Finger Painting,Spoon Transfer,Paper Crumple Game
135,Speech & Language,Question Game,Who Is That Game,Body Part Naming,Guess The Sound
136,Cognitive,Memory Match,Treasure Hunt,Simple Puzzle,Two Step Task
137,Social & Emotional,Happy Dance,Ball Turn Taking,Sharing Snack,Wave Hello
138,Sensory,Feather Touch,Fabric Rub Game,Texture Basket,Playdough Press
139,Self Help,Fold Small Cloth,Toy Shelf Return,Wipe Table Try,Spoon Eating
140,Gross Motor,Obstacle Walk,Stair Crawling,Dance Movement,Tummy Time
141,Fine Motor,Button Drop Jar,Cup Drop Game,Playdough Squeeze,Cloth Peg Pinch
142,Speech & Language,Picture Pointing,Animal Sound Game,Nursery Rhyme Actions,Sound Imitation
143,Cognitive,Cup Hide Game,What Is Missing,Cause Effect Toy,Toy Sequence
144,Social & Emotional,Thank You Practice,Emotion Face Game,Dress Up Play,Group Song Time
145,Sensory,Bubble Pop,Feather Touch,Texture Path Crawl,Water Pouring
146,Self Help,Hold Napkin,Wipe Table Try,Chair Sitting,Towel Drying
147,Gross Motor,Obstacle Walk,Ball Kick Game,Chase the Balloon,Rolling Reach
148,Fine Motor,Toy Screw Turn,Large Bead Threading,Sorting Small Objects,Peg Board Insert
149,Speech & Language,Who Is That Game,Word Expansion,Sound Imitation,Story Retelling
150,Cognitive,Memory Match,Counting Objects,Pattern Copy,Treasure Hunt
151,Social & Emotional,Care For Teddy,Laugh Together,Friend Doll Play,Smile Exchange
152,Sensory,Playdough Press,Scent Smell Game,Water Drip Watch,Texture Walk
153,Self Help,Put Cup On Table,Laundry Help,Finger Feeding,Spoon Eating
154,Gross Motor,Ball Dribble Push,Tiptoe Walk,Backward Walking,Balance Line Walk
155,Fine Motor,Rubber Band Board,Sticker Peeling,Large Bead Threading,Cup Drop Game
156,Speech & Language,Object Request Game,Picture Book Talk,Picture Pointing,Story Retelling
