Week,Domain,Activity1,Activity2,Activity3,Activity4
52,Cognitive,Follow Two Step Task,Light Switch Game,Shadow Matching,Find The Red Toy
53,Social & Emotional,Wave Hello Game,High Five Game,Mirror Smile,Toy Give And Take
54,Sensory,Texture Walk,Light Shadow Play,Soft Brush Touch,Foam Play
55,Self Help,Put Toys In Box,Sock Removal,Cup Drinking,Hand Washing
56,Gross Motor,Push Walker Practice,Backward Walking,Run and Stop Game,Marching Game
57,Fine Motor,Large Bead Threading,Velcro Pull Game,Block Stacking,Rattle Grip
58,Speech & Language,Picture Pointing,Sound Imitation,Object Naming,Picture Book Talk
59,Cognitive,Follow Two Step Task,Peekaboo,Stack And Knock Game,Shadow Matching
60,Social & Emotional,Hug Game,Emotion Story Talk,Toy Sharing,High Five Game
61,Sensory,Foam Play,Texture Basket,Ice Touch,Water Pouring
62,Self Help,Open Lunch Box,Put Cup On Table,Hold Napkin,Wipe Table Try
63,Gross Motor,Stair Crawling,Ball Dribble Push,Crawling Toy Chase,Backward Walking
64,Fine Motor,Paper Tear Play,Peg Board Insert,Velcro Pull Game,Cup Drop Game
65,Speech & Language,Sing and Pause Game,Describe The Toy,Picture Book Talk,Body Part Naming
66,Cognitive,Color Sorting,Cause Effect Toy,Find The Red Toy,Simple Maze Follow
67,Social & Emotional,Friend Doll Play,Pretend Cooking,Clap Together,High Five Game
68,Sensory,Sand Play,Leaf Touch Game,Bubble Pop,Soft Brush Touch
69,Self Help,Towel Drying,Snack Plate Carry,Hat On Off,Place Book On Shelf
70,Gross Motor,Tiptoe Walk,Pillow Stepping Path,Run and Stop Game,Step Over Objects
71,Fine Motor,Ring Stack Toy,Spoon Transfer,Stacking Cups,Paper Tear Play
72,Speech & Language,Animal Sound Game,Face Talking,Emotion Naming,Body Part Naming
73,Cognitive,Which Is Bigger Game,Cup Hide Game,Follow Two Step Task,Stack Order Game
74,Social & Emotional,Friend Doll Play,Emotion Face Game,Laugh Together Game,Toy Give And Take
75,Sensory,Sand Play,Grass Walk,Water Drip Watch,Bubble Catch
76,Self Help,Throw Trash In Bin,Fold Small Cloth,Finger Feeding,Simple Dressing
77,Gross Motor,Supported Sitting Play,Tunnel Crawl,Stair Crawling,Run and Stop Game
78,Fine Motor,Coin Slot Game,Spoon Transfer,Playdough Squeeze,Finger Painting
79,Speech & Language,Rhyming Sounds,Story Retelling,Object Naming,Describe Daily Routine
80,Cognitive,Pattern Clap Game,Counting Objects,Toy Sequence Game,Container Fill Empty
81,Social & Emotional,Friend Doll Play,Dress Up Play,Laugh Together Game,Smile Exchange
82,Sensory,Texture Path Crawl,Scent Smell Game,Leaf Touch Game,Bottle Sound Shake
83,Self Help,Place Shoes Near Door,Place Book On Shelf,Water Bottle Drink,Hold Napkin
84,Gross Motor,Toy Push Across Floor,Animal Walk Game,Furniture Cruising,Crawling Toy Chase
85,Fine Motor,Cloth Peg Pinch,Crayon Scribbling,Sticker Peeling,Sorting Small Objects
86,Speech & Language,Sound Search Game,Emotion Naming,Object Naming,Who Is That Game
87,Cognitive,Build Tower Challenge,Treasure Hunt,Cup Hide Game,Cause Effect Toy
88,Social & Emotional,Name Calling Response,Thank You Practice,Wave Hello Game,Laugh Together Game
89,Sensory,Baby Massage,Feather Touch,Bubble Catch,Vibration Toy Touch
90,Self Help,Fold Small Cloth,Pick Up Cloth,Close Drawer Help,Nap Blanket Fold
91,Gross Motor,Kick Rolling Ball,Tummy Time,Supported Sitting Play,Ball Throw
92,Fine Motor,Toy Screw Turn,Sticker Peeling,Stacking Cups,Crayon Scribbling
93,Speech & Language,Describe The Toy,Guess The Sound,Word Expansion Game,Who Is That Game
94,Cognitive,Counting Objects,Pattern Clap Game,Memory Match,Sound Direction Guess
95,Social & Emotional,Laugh Together Game,Hug Game,Pretend Cooking,Family Photo Talk
96,Sensory,Baby Massage,Playdough Press,Grass Walk,Soft Brush Touch
97,Self Help,Cup Drinking,Simple Dressing,Place Book On Shelf,Toy Cleanup
98,Gross Motor,Chase the Balloon,Tunnel Crawl,Follow the Leader Walk,Crawling Toy Chase
99,Fine Motor,Rattle Grip,Sticker Peeling,Flip Book Pages,Sorting Small Objects
100,Speech & Language,Picture Book Talk,Guess The Sound,Simple Choice Question,Nursery Rhyme Actions
101,Cognitive,Pattern Clap Game,Which Is Bigger Game,Simple Puzzle,Stack Order Game
102,Social & Emotional,Toy Give And Take,Ball Turn Taking,Tickle Game,Clap Together
103,Sensory,Rolling Ball Feel,Water Pouring,Finger Sand Drawing,Foam Play
104,Self Help,Hand Washing,Place Book On Shelf,Water Bottle Drink,Cup Drinking
105,Gross Motor,Run and Stop Game,Balance Line Walk,Ball Throw,Obstacle Walk
106,Fine Motor,Velcro Pull Game,Button Drop Jar,Sorting Small Objects,Sticker Peeling
107,Speech & Language,Nursery Rhyme Actions,Simple Choice Question,Rhyming Sounds,Sound Search Game
108,Cognitive,Find The Pair,Light Switch Game,What Is Missing Game,Pattern Clap Game
109,Social & Emotional,Tickle Game,Smile Exchange,Group Song Time,Help Carry Toy
110,Sensory,Rice Bin Dig,Playdough Press,Wind Fan Play,Sand Play
111,Self Help,Hat On Off,Water Bottle Drink,Hand Washing,Snack Plate Carry
112,Gross Motor,Tummy Time,Chase the Balloon,Balance Line Walk,Bubble Stomp
113,Fine Motor,Spoon Transfer,Shape Tracing,Ring Stack Toy,Finger Painting
114,Speech & Language,Question Game,Sound Search Game,Body Part Naming,Emotion Naming
115,Cognitive,Simple Maze Follow,Find The Pair,Color Sorting,Shape Sorting
116,Social & Emotional,Pretend Doctor Visit,Thank You Practice,Care For Teddy,Tickle Game
117,Sensory,Rice Bin Dig,Water Drip Watch,Baby Massage,Grass Walk
118,Self Help,Chair Sitting,Laundry Basket Help,Carry Small Bag,Hold Napkin
119,Gross Motor,Animal Walk Game,Dance Movement,Run and Stop Game,Supported Sitting Play
120,Fine Motor,Rattle Grip,Crayon Scribbling,Finger Painting,Large Bead Threading
121,Speech & Language,Simple Choice Question,Rhyming Sounds,Action Word Game,Sing and Pause Game
122,Cognitive,Shadow Matching,High Contrast Cards,Treasure Hunt,Sound Direction Guess
123,Social & Emotional,Toy Sharing,Emotion Face Game,Pretend Doctor Visit,Happy Dance Together
124,Sensory,Texture Walk,Texture Basket,Warm Water Dip,Texture Path Crawl
125,Self Help,Put Spoon In Sink,Put Toys In Box,Pick Up Cloth,Finger Feeding
126,Gross Motor,Kick Rolling Ball,Animal Walk Game,Bubble Stomp,Tiptoe Walk
127,Fine Motor,Sponge Squeeze Water,Peg Board Insert,Lid Open Close,Flip Book Pages
128,Speech & Language,Action Word Game,Repeat After Me,Story Retelling,Sound Search Game
129,Cognitive,Simple Maze Follow,Simple Puzzle,Find The Red Toy,Color Sorting
130,Social & Emotional,Thank You Practice,Care For Teddy,Family Photo Talk,Help Carry Toy
131,Sensory,Finger Sand Drawing,Fabric Rub Game,Texture Walk,Vibration Toy Touch
132,Self Help,Throw Trash In Bin,Place Book On Shelf,Put Cup On Table,Carry Small Bag
133,Gross Motor,Obstacle Walk,Ball Throw,Tummy Time,Kick Rolling Ball
134,Fine Motor,Tape Pull Game,Pipe Cleaner Threading,Paper Tear Play,Stacking Cups
135,Speech & Language,Talking Mirror,Face Talking,Echo Word Game,Repeat After Me
136,Cognitive,High Contrast Cards,What Is Missing Game,Build Tower Challenge,Pattern Copy
137,Social & Emotional,Friend Doll Play,Clap Together,Smile Exchange,Name Calling Response
138,Sensory,Scent Smell Game,Rice Bin Dig,Playdough Press,Fabric Rub Game
139,Self Help,Put Spoon In Sink,Hand Washing,Shoe Placement,Toy Shelf Return
140,Gross Motor,Ball Throw,Push Walker Practice,Mini Hurdle Walk,Crawling Toy Chase
141,Fine Motor,Spoon Transfer,Stacking Cups,Ring Stack Toy,Sticker Peeling
142,Speech & Language,Rhyming Sounds,Sound Search Game,Guess The Sound,Story Retelling
143,Cognitive,Which Is Bigger Game,Stack And Knock Game,Cause Effect Toy,Simple Maze Follow
144,Social & Emotional,Family Photo Talk,Happy Dance Together,Wave Hello Game,Thank You Practice
145,Sensory,Ice Touch,Soft Brush Touch,Rice Bin Dig,Rolling Ball Feel
146,Self Help,Towel Drying,Place Book On Shelf,Hand Washing,Simple Dressing
147,Gross Motor,Chase the Balloon,Toy Push Across Floor,Tummy Time,Furniture Cruising
148,Fine Motor,Flip Book Pages,Button Push Toy,Sorting Small Objects,Ring Stack Toy
149,Speech & Language,Where Is The Toy,Picture Pointing,Animal Sound Game,Who Is That Game
150,Cognitive,Matching Pictures,Sound Direction Guess,Peekaboo,Find The Pair
151,Social & Emotional,Emotion Story Talk,Pretend Feeding Doll,Greeting Practice,High Five Game
152,Sensory,Rolling Ball Feel,Rice Bin Dig,Foam Play,Bubble Pop
153,Self Help,Towel Drying,Put Toys In Box,Snack Plate Carry,Pick Up Cloth
154,Gross Motor,Marching Game,Stair Crawling,Obstacle Walk,Dance Movement
155,Fine Motor,Block Stacking,Spoon Transfer,Ring Stack Toy,Sticker Peeling
156,Speech & Language,Question Game,Picture Pointing,Object Request Game,Rhyming Sounds
