id,Activity,Domain,Description (Detailed Steps),Tools (Column E),Toy Photo (Col H),Activity Photo (Col I)
24,Step Over Objects,Gross Motor,1. Place several low objects (like pool noodles or rolled towels) on the floor. 2. Lead the child toward the obstacles. 3. Encourage them to lift one leg high to step over without touching the object.,Pool noodles or rolled towels,[Image: Bright pool noodles],[Image: Child lifting leg over a towel]
25,Chase the Balloon,Gross Motor,1. Gently toss a bright balloon into the air. 2. Encourage the child to look up and follow its movement. 3. Have them run or reach out to tap the balloon to keep it from hitting the ground.,Brightly colored latex balloon,[Image: Large red balloon],[Image: Child reaching for a floating balloon]
26,Bubble Stomp,Gross Motor,"1. Blow several bubbles toward the floor. 2. Point to the bubbles as they land. 3. Encourage the child to run and ""stomp"" on the bubbles with their feet to pop them.",Bubble solution and wand,[Image: Bottle of bubbles],[Image: Child's foot popping a bubble]
27,Mini Hurdle Walk,Gross Motor,"1. Set up ""hurdles"" using small blocks with a stick across them. 2. Hold the child's hand for support. 3. Guide them to step over each hurdle carefully, focusing on lifting their knees.",Toy blocks and a wooden dowel,[Image: Wooden building blocks],[Image: Child stepping over a small hurdle]
28,Tiptoe Walk,Gross Motor,"1. Tell the child you are ""sneaking"" like a quiet mouse. 2. Demonstrate walking on the balls of your feet with heels lifted. 3. Encourage them to follow you quietly across the room on their tiptoes.",No tools needed,[Image: Pair of tiny socks],[Image: Child walking on tiptoes]
29,Backward Walking,Gross Motor,1. Stand facing the child and hold their hands. 2. Take a slow step backward and pull them gently toward you. 3. Encourage them to look over their shoulder and take small steps in reverse.,No tools needed,[Image: Child's sneakers],[Image: Parent guiding child walking backward]
30,Ball Dribble Push,Gross Motor,1. Give the child a medium-sized playground ball. 2. Show them how to push the ball forward with two hands while walking. 3. Encourage them to keep the ball moving in a straight line toward a target.,Medium playground ball,[Image: Bouncy rubber ball],[Image: Child pushing a ball while walking]
31,Rattle Grip,Fine Motor,"1. Place a rattle in the child's open palm. 2. Gently close their fingers around the handle. 3. Encourage them to shake the rattle to hear the sound, reinforcing their grip strength.",Lightweight plastic rattle,[Image: Easy-grip rattle],[Image: Infant hand gripping a rattle]
32,Block Stacking,Fine Motor,1. Sit with the child and a set of large blocks. 2. Place one block down and stack another on top. 3. Hand a block to the child and gesture for them to add it to the tower.,Large building blocks,[Image: Stack of primary blocks],[Image: Child's hand stacking blocks]
33,Cup Drop Game,Fine Motor,"1. Provide a large plastic cup and several small safe objects (like large pom-poms). 2. Show the child how to pick up one object at a time. 3. Encourage them to drop the object into the cup and listen for the ""plink.""","Plastic cup, large pom-poms",[Image: Colorful pom-poms],[Image: Child dropping a ball into a cup]
34,Spoon Transfer,Fine Motor,1. Place an empty bowl and a bowl filled with dry cereal side-by-side. 2. Give the child a chunky spoon. 3. Help them scoop the cereal and move it into the empty bowl.,"Two bowls, chunky spoon, cereal",[Image: Plastic baby spoon],[Image: Child moving items with a spoon]
35,Large Bead Threading,Fine Motor,1. Use an extra-thick lace or a stiff pipe cleaner. 2. Hold a large bead with a wide hole. 3. Guide the child to push the lace through the hole and pull it out the other side.,"Large wooden beads, thick lace",[Image: Giant wooden beads],[Image: Child threading a bead onto a string]
36,Sticker Peeling,Fine Motor,1. Partially peel the edge of a large sticker from a sheet. 2. Show the child how to pinch the edge with their thumb and forefinger. 3. Encourage them to pull the sticker off and press it onto a piece of paper.,"Large stickers, paper",[Image: Sheet of bright stickers],[Image: Child's fingers peeling a sticker]
37,Playdough Squeeze,Fine Motor,"1. Give the child a golf-ball-sized piece of soft playdough. 2. Show them how to squeeze it tight in their fist so it oozes through their fingers. 3. Encourage them to poke it, squish it, and pull it apart.",Non-toxic playdough,[Image: Tub of soft playdough],[Image: Hand squeezing playdough]
38,Crayon Scribbling,Fine Motor,"1. Tape a large piece of paper to the table to prevent sliding. 2. Give the child a thick ""egg"" or triangular crayon. 3. Demonstrate making a mark and encourage them to move their arm to make their own lines.","Thick crayons, large paper",[Image: Jumbo crayons],[Image: Child scribbling on paper]
39,Button Drop Jar,Fine Motor,1. Use a jar with a slot cut into the lid. 2. Give the child large buttons (too big to swallow). 3. Show them how to orient the button vertically to fit it through the slot.,"Slotted jar, jumbo buttons",[Image: Extra large buttons],[Image: Child putting button in a jar slot]
40,Paper Tear Play,Fine Motor,1. Give the child a strip of colorful tissue paper or thin construction paper. 2. Demonstrate holding the paper with both hands and pulling in opposite directions. 3. Encourage them to tear the paper into many small pieces.,Colorful tissue or construction paper,[Image: Strips of colored paper],[Image: Child's hands tearing paper]
41,Cloth Peg Pinch,Fine Motor,"1. Clip several clothespins to the rim of a sturdy bowl. 2. Show the child how to squeeze the peg to open the ""mouth."" 3. Encourage them to pull the pegs off one by one and drop them into the bowl.","Plastic clothespins, sturdy bowl",[Image: Spring-loaded clothespins],[Image: Child pinching a clothespin]
42,Puzzle Placement,Fine Motor,1. Remove one piece from a large wooden knob puzzle. 2. Hand the piece to the child and point to the empty space. 3. Guide their hand to rotate and drop the piece into the matching slot.,Wooden knob puzzle,[Image: Single-piece knob puzzle],[Image: Child fitting puzzle piece]
43,Finger Painting,Fine Motor,"1. Place a dollop of non-toxic paint on a large sheet of paper. 2. Show the child how to dip one finger into the paint. 3. Encourage them to smear, swirl, and make dots across the paper surface.","Non-toxic finger paint, paper",[Image: Pots of colorful paint],[Image: Child's hand covered in paint]
44,Coin Slot Game,Fine Motor,1. Use a plastic piggy bank or a container with a thin slit. 2. Give the child large plastic play coins. 3. Show them how to line up the coin with the slot and push it all the way in.,"Piggy bank, plastic play coins",[Image: Oversized plastic coins],[Image: Child inserting coin into slot]
45,Shape Tracing,Fine Motor,"1. Draw a large, bold circle or square on a piece of paper. 2. Have the child dip their finger in water or paint. 3. Guide their finger to follow the lines of the shape from start to finish.","Bold marker, paper, water/paint",[Image: Paper with a large red circle],[Image: Child's finger following a line]
46,Pipe Cleaner Threading,Fine Motor,1. Poke several holes in the bottom of an upside-down colander. 2. Give the child colorful pipe cleaners. 3. Show them how to poke the end of the pipe cleaner into a hole and push it through.,"Colander, colorful pipe cleaners",[Image: Fuzzy pipe cleaners],[Image: Child poking wire into a hole]
47,Sorting Small Objects,Fine Motor,"1. Place a mix of two different items (e.g., large pasta and blocks) in a pile. 2. Provide two separate containers. 3. Show the child how to pick up a block and put it in one container, then pasta in the other.","Two bowls, pasta, small blocks",[Image: Mixed bowl of toys],[Image: Child sorting items into bowls]
48,Stacking Cups,Fine Motor,1. Set out a set of graduated stacking cups. 2. Show the child how to place the largest cup down first. 3. Encourage them to find the next size and stack it precisely on top to build a tower.,Set of nesting/stacking cups,[Image: Stacked colorful cups],[Image: Child building a cup tower]
49,Tape Pull Game,Fine Motor,"1. Stick several short strips of painter's tape to a high-chair tray or table. 2. Peel up one corner of each strip. 3. Encourage the child to use their ""pincer grasp"" to grab the corner and pull the tape off.",Masking tape or painter's tape,[Image: Roll of colorful tape],[Image: Child pulling tape off a table]
50,Lid Open Close,Fine Motor,"1. Provide several small plastic containers with different types of lids (flip, pull, or screw). 2. Hide a small toy inside one. 3. Show the child how to remove the lid to find the toy, then help them put it back on.",Plastic tubs with various lids,[Image: Small food storage containers],[Image: Child pulling a lid off a tub]
51,Pom Pom Pick Up,Fine Motor,1. Scatter soft pom-poms on a flat surface. 2. Give the child a pair of large plastic tweezers or tongs. 3. Show them how to squeeze the tongs to grab a pom-pom and move it to a basket.,"Large pom-poms, plastic tongs",[Image: Jumbo soft pom-poms],[Image: Child using tongs on a ball]
52,Velcro Pull Game,Fine Motor,"1. Use toys or straps that have Velcro fasteners. 2. Close the Velcro firmly. 3. Encourage the child to grab the edge of the strap and pull hard to hear the ""rrip"" sound as it opens.",Velcro straps or Velcro toys,[Image: Strips of hook-and-loop tape],[Image: Child pulling a Velcro strap]
53,Rubber Band Board,Fine Motor,"1. Use a wooden board with large, secure pegs (Geoboard). 2. Show the child how to hook a thick rubber band onto one peg. 3. Encourage them to pull and stretch the band to hook it onto a second peg.","Geoboard, thick rubber bands",[Image: Wooden board with pegs],[Image: Child stretching a rubber band]
54,Peg Board Insert,Fine Motor,1. Place a pegboard in front of the child. 2. Hand them one large plastic peg. 3. Point to a hole and guide them to push the peg down until it stays upright in the board.,Large pegboard and pegs,[Image: Brightly colored plastic pegs],[Image: Child inserting a peg into a board]
55,Sponge Squeeze,Fine Motor,1. Place one bowl filled with water and one empty bowl. 2. Put a small sponge in the water bowl. 3. Show the child how to move the wet sponge to the empty bowl and squeeze hard to release the water.,"Two bowls, soft kitchen sponge",[Image: Small yellow sponge],[Image: Child's hands squeezing a sponge]
56,Button Push Toy,Fine Motor,"1. Use a ""pop-up"" toy or an activity center with buttons. 2. Point to a specific button. 3. Show the child how to use their pointer finger to push the button down to trigger a sound or a pop-up.",Pop-up cause-and-effect toy,[Image: Toy with colorful buttons],[Image: Child pressing a button]
57,Flip Book Pages,Fine Motor,1. Sit with the child and a sturdy board book. 2. Show them how to slide their finger under the edge of the page. 3. Encourage them to turn one page at a time to see the next picture.,Sturdy board book,[Image: Thick-paged board book],[Image: Child's hand turning a page]
58,Ring Stack Toy,Fine Motor,1. Remove all rings from a stacking post. 2. Hand the largest ring to the child. 3. Point to the post and encourage them to drop the ring over the top so it slides to the bottom.,Classic ring stacker toy,[Image: Plastic rings on a post],[Image: Child placing a ring on a post]
59,Paper Crumple Game,Fine Motor,"1. Give the child a sheet of newspaper or thin wrapping paper. 2. Show them how to use both hands to crush the paper into a small ball. 3. Encourage them to throw the ""paper ball"" into a basket.",Newspaper or scrap paper,[Image: Ball of crumpled paper],[Image: Child's hands crushing paper]
60,Toy Screw Turn,Fine Motor,1. Provide a large toy nut and bolt set. 2. Hold the bolt steady for the child. 3. Show them how to twist the nut with their fingers to move it up or down the screw thread.,Jumbo toy nuts and bolts,[Image: Large plastic bolt and nut],[Image: Child twisting a toy nut]
61,Face Talking,Speech & Language,1. Sit at eye level with the child so they can see your mouth clearly. 2. Speak slowly using exaggerated facial expressions and lip movements. 3. Pause frequently to give the child a chance to respond with a sound or facial movement.,No tools needed,[Image: Mirror with a smiling face],[Image: Parent at eye-level talking to baby]
62,Sound Imitation,Speech & Language,"1. Listen for a sound the child makes naturally (e.g., ""ba""). 2. Repeat the exact sound back to them immediately. 3. Wait for them to make the sound again, creating a back-and-forth ""conversation"" of babbles.",No tools needed,[Image: Musical note icons],[Image: Parent leaning in to listen to baby]
63,Object Naming,Speech & Language,"1. Hold a familiar object like a ""Ball"" clearly in front of the child. 2. Say the name of the object twice: ""Ball... Ball."" 3. Encourage the child to look at the object and try to repeat the name or point to it.","Familiar objects (Ball, Spoon, Shoe)",[Image: Assorted household items],[Image: Parent holding a shoe and naming it]
64,Animal Sound Game,Speech & Language,"1. Show the child a picture of a common animal (e.g., a cow). 2. Make the animal's sound clearly (""Moo!""). 3. Encourage the child to copy the sound whenever you point to that animal's picture.",Animal picture book or toy animals,[Image: Toy cow and sheep],"[Image: Child making a ""moo"" face with toy]"
65,Picture Book Talk,Speech & Language,"1. Open a book with large, simple pictures. 2. Instead of reading the story, point to a picture and describe it: ""Look at the big blue bird!"" 3. Ask the child ""Where is the bird?"" and guide their hand to point to it.",Large picture board book,[Image: Open book with bright illustrations],[Image: Parent and child looking at a book]
66,Two Word Prompt,Speech & Language,"1. When the child wants something, use two-word phrases to describe it (e.g., ""More juice"" or ""Blue ball""). 2. Encourage the child to attempt a second word by pausing after the first: ""Want... [pause]... cookie?"". 3. Celebrate any vocal attempt they make.",Child's favorite snack or toy,[Image: Small cup of juice],[Image: Parent holding a toy out to a child]
67,Toy Phone Conversation,Speech & Language,"1. Give the child a toy phone and take one for yourself. 2. Hold the phone to your ear and say ""Hello? Is [Child's Name] there?"". 3. Hand the phone to them and encourage them to ""talk"" and listen into the receiver.",Two toy telephones,[Image: Plastic toy telephone],[Image: Child holding toy phone to ear]
68,Song Repetition,Speech & Language,"1. Sing a short, simple song like ""Twinkle Twinkle"" several times. 2. Use the same hand gestures every time you sing it. 3. Eventually, stop singing at the end of a line (e.g., ""How I wonder what you..."") and wait for the child to fill in the last word.",No tools needed,[Image: Music note and star symbols],[Image: Parent singing with hand motions]
69,Body Part Naming,Speech & Language,"1. Point to your own nose and say ""Nose."" 2. Gently touch the child's nose and say ""Your nose!"". 3. Ask ""Where is your nose?"" and encourage them to point to their own or yours.",No tools needed,[Image: Illustration of a face],[Image: Child touching their own nose]
70,Action Word Game,Speech & Language,"1. Perform a simple action like ""Jump"" or ""Clap."" 2. Say the word as you do the action: ""I am jumping!"". 3. Encourage the child to do the same and say the word along with you.",No tools needed,[Image: Icon of clapping hands],[Image: Child jumping while parent says 'Jump']
71,Question Game,Speech & Language,"1. Ask simple ""Yes/No"" questions throughout the day (e.g., ""Do you want water?""). 2. Exaggerate a nod for ""Yes"" and a shake for ""No."" 3. Wait for the child to respond with a gesture or a sound before providing the item.",No tools needed,[Image: Question mark icon],[Image: Parent asking child a question]
72,Rhyming Sounds,Speech & Language,"1. Say two words that rhyme clearly (e.g., ""Cat, Hat""). 2. Repeat them with an emphasis on the ending sound. 3. Say a short rhyme and clap your hands on the rhyming words to draw the child's attention to the sound pattern.",Rhyming picture cards,[Image: Card with a cat and a hat],[Image: Parent emphasizing sounds to child]
73,Story Retelling,Speech & Language,"1. Read a very familiar story to the child. 2. Turn to a page and ask ""What happened here?"". 3. Encourage the child to use one or two words to describe the picture or what comes next in the story.",Familiar storybook,[Image: Stack of children's books],[Image: Child pointing at a book page]
74,Emotion Naming,Speech & Language,"1. Make a very happy face and say ""I am happy!"". 2. Use a mirror so the child can see their own face. 3. Ask them to ""Make a happy face"" and name the emotion they are showing.",Handheld mirror,[Image: Yellow 'happy face' icon],[Image: Child looking in mirror making a face]
75,Object Request Game,Speech & Language,"1. Place a desired toy slightly out of reach but in plain sight. 2. Wait for the child to gesture or make a sound. 3. Prompt them by saying ""What do you want?"" and encourage them to use a word or point clearly before giving it to them.",Child's favorite toy,[Image: Toy train on a shelf],[Image: Child reaching and vocalizing for toy]
76,Name That Toy,Speech & Language,"1. Put three different toys in front of the child (e.g., car, doll, ball). 2. Ask ""Where is the car?"". 3. Encourage the child to point to or pick up the correct toy, then say the name of the toy together.",Three distinct toys,"[Image: A car, a doll, and a ball]",[Image: Child picking up a specific toy]
77,Echo Word Game,Speech & Language,"1. Say a simple, fun word like ""Pop!"" or ""Boom!"". 2. Encourage the child to ""echo"" or repeat the word back to you. 3. Make it a game by changing the volume from a whisper to a loud voice and having them match you.",No tools needed,[Image: Sound wave icon],"[Image: Parent and child shouting ""Pop""]"
78,Nursery Rhyme Actions,Speech & Language,"1. Sing a rhyme that has specific motions (e.g., ""Itsy Bitsy Spider""). 2. Guide the child's hands to perform the movements as you sing. 3. Pause during the song to see if the child will start the next hand motion on their own.",No tools needed,[Image: Spider icon],[Image: Child doing spider hand motions]
79,Simple Choice Question,Speech & Language,"1. Hold up two different items (e.g., an apple and a banana). 2. Ask ""Do you want the apple or the banana?"". 3. Wait for the child to look at or point to their choice, then repeat the name of the chosen item clearly.",Two different snacks or toys,[Image: An apple and a banana],[Image: Child pointing to one of two items]
80,Picture Pointing,Speech & Language,"1. Show a busy picture with many items (like a park scene). 2. Say ""Find the doggie!"". 3. Encourage the child to scan the picture and point to the correct object, then reward them with praise.",Detailed picture book or poster,[Image: Illustration of a park],[Image: Child pointing to a detail in a book]
81,Describe The Toy,Speech & Language,"1. Pick up a toy and point to a specific feature (e.g., ""The car is red""). 2. Use simple sensory words like ""soft,"" ""loud,"" or ""shiny"" to describe it. 3. Encourage the child to touch the toy while you repeat the descriptive word.",Various textured/colored toys,[Image: Bright red toy car],[Image: Parent pointing at toy features]
82,Guess The Sound,Speech & Language,"1. Hide behind a chair or door with an object that makes a distinct noise (like a bell). 2. Make the sound and ask, ""What was that?"". 3. Reveal the object, name it, and let the child make the sound themselves.","Bell, whistle, or squeaky toy",[Image: Small silver handbell],[Image: Child listening intently to a sound]
83,Who Is That Game,Speech & Language,"1. Look through a photo album or digital pictures of family members. 2. Point to a person and ask ""Who is that?"". 3. Say the name (e.g., ""Grandpa"") and encourage the child to repeat it or wave at the picture.",Family photo album,[Image: Framed family photograph],[Image: Child pointing at a photo]
84,Where Is The Toy,Speech & Language,"1. Place a toy in an obvious but slightly hidden spot (e.g., under a clear cloth). 2. Ask the child, ""Where is your teddy?"". 3. Encourage them to look around and point to or crawl toward the object.",Familiar stuffed animal,[Image: Plush teddy bear],[Image: Child searching around the room]
85,Repeat After Me,Speech & Language,"1. Say a simple, silly sound or a word (e.g., ""Beep-beep!""). 2. Look at the child expectantly and wait for them to try and mimic you. 3. Gradually increase the difficulty to two-word phrases once they master single sounds.",No tools needed,[Image: Speech bubble icon],[Image: Parent and child face-to-face]
86,Sing and Pause,Speech & Language,"1. Sing a very familiar nursery rhyme with a strong rhythm. 2. Stop abruptly before a rhyming word or a key phrase (e.g., ""The wheels on the bus go round and...""). 3. Wait for the child to finish the line with a sound, word, or gesture.",No tools needed,[Image: Musical note pattern],[Image: Parent pausing mid-song]
87,Describe Routine,Speech & Language,"1. Narrate what you are doing during a daily task like diapering or dressing. 2. Use simple sentences: ""Now we put on your sock. One sock, two socks."" 3. Pause to see if the child anticipates the next step by looking or moving.","Daily items (Socks, Diapers)",[Image: Pair of baby socks],[Image: Parent talking while dressing child]
88,Sound Search,Speech & Language,"1. Walk around the house and listen for specific sounds (a ticking clock, a bird, a running tap). 2. Point to your ear and say ""Listen! I hear a..."" 3. Lead the child to the source of the sound and name the object making it.",Household sound sources,[Image: Analog wall clock],[Image: Child with hand to ear listening]
89,Word Expansion,Speech & Language,"1. When the child says a single word (e.g., ""Dog""), repeat it back and add a word. 2. Say, ""Yes, big dog!"" or ""Brown dog!"". 3. This helps the child learn how to combine words into short phrases.",Picture book or toy animals,[Image: Toy golden retriever],[Image: Parent nodding and talking to child]
90,Talking Mirror,Speech & Language,"1. Sit with the child in front of a large mirror. 2. Make funny faces or stick out your tongue and describe the action. 3. Encourage the child to ""talk"" to their reflection and watch how their mouth moves.",Large wall or floor mirror,[Image: Child-safe acrylic mirror],[Image: Child babbling at their reflection]
91,High Contrast Cards,Cognitive,"1. Hold a black-and-white high-contrast card about 8-12 inches from the infant's face. 2. Slowly move the card from side to side. 3. Watch as the child tracks the bold patterns, which helps develop visual focus and brain connections.",Black and white art cards,[Image: Card with black/white stripes],[Image: Infant tracking a card]
92,Peekaboo,Cognitive,"1. Hide your face behind your hands or a scarf. 2. Ask ""Where is Mama/Papa?"" in an excited voice. 3. Quickly reveal your face and say ""Peekaboo!"" to teach that things exist even when unseen.",Soft cloth or hands,[Image: Bright silk scarf],[Image: Parent revealing face behind hands]
93,Hidden Toy Search,Cognitive,"1. Show the child a toy, then hide it completely under a small blanket while they watch. 2. Ask ""Where did it go?"". 3. Encourage the child to lift the blanket to find the toy, building memory and persistence.","Small blanket, favorite toy",[Image: Toy car under a cloth],[Image: Child lifting a blanket to find toy]
94,Shape Sorting,Cognitive,"1. Present a shape sorter with only one type of hole open (e.g., the circle). 2. Hand the child the matching shape. 3. Guide their hand to align the shape and push it through the hole.",Shape sorter bucket,[Image: Plastic circle block],[Image: Child pushing shape into sorter]
95,Color Sorting,Cognitive,"1. Use two bowls of different colors (e.g., Red and Blue). 2. Provide several red and blue blocks. 3. Show the child how to ""match"" the red block to the red bowl, then encourage them to try.",Two colored bowls and blocks,[Image: Red bowl and blue bowl],[Image: Child placing block in matching bowl]
96,Simple Puzzle,Cognitive,1. Use a puzzle with only 2 or 3 large pieces. 2. Remove the pieces and show the child the empty board. 3. Encourage them to fit the pieces back by matching the shapes and pictures.,2-3 piece wooden puzzle,[Image: Large wooden puzzle piece],[Image: Child assembling a 2-piece puzzle]
97,Memory Match,Cognitive,"1. Lay out two pairs of identical cards face up. 2. Point to one and ask the child to ""find the one just like this."" 3. Encourage them to pick up the matching card, reinforcing visual memory.",Large matching picture cards,[Image: Two cards with identical suns],[Image: Child holding two matching cards]
98,Stack Order Game,Cognitive,1. Use nesting cups or rings of different sizes. 2. Show the child that the small one fits inside the big one. 3. Encourage them to experiment with the order to see which ones fit together and which ones don't.,Set of nesting cups,[Image: Nesting cups of various sizes],[Image: Child trying to fit cups together]
99,Cause Effect Toy,Cognitive,"1. Present a toy that reacts to an action (e.g., a jack-in-the-box or a button that makes a light flash). 2. Demonstrate the action clearly. 3. Encourage the child to repeat the action to get the same fun result.",Pop-up toy or light-up button,[Image: Jack-in-the-box toy],[Image: Child pressing a button for light]
100,Light Switch Game,Cognitive,"1. Safely hold the child near a light switch. 2. Say ""Lights ON"" as you flip it up, and ""Lights OFF"" as you flip it down. 3. Let the child try to move the switch themselves to see the immediate change in the room.",Safe wall light switch,[Image: Standard light switch],[Image: Parent holding child to reach switch]
101,Sorting Basket,Cognitive,"1. Fill a basket with various items like blocks, socks, and spoons. 2. Set out three empty containers. 3. Show the child how to put all the blocks in one, socks in the second, and spoons in the third.","Wicker basket, blocks, socks, spoons",[Image: Basket with mixed household items],[Image: Child sorting items into three bins]
102,Pattern Copy,Cognitive,"1. Place two different colored blocks in a row (e.g., Red, Blue). 2. Hand the child a red block and a blue block. 3. Encourage them to place their blocks in the same order next to yours.",Set of colored wooden blocks,[Image: Red and blue blocks in a line],[Image: Child mimicking a block pattern]
103,Counting Objects,Cognitive,"1. Line up 3-5 large items like toy cars. 2. Touch each item one by one as you say the number clearly: ""One, two, three..."" 3. Encourage the child to touch the items along with you as you count.",5 large toy cars or figurines,[Image: Five toy cars in a row],[Image: Finger touching a toy while counting]
104,Matching Pictures,Cognitive,"1. Lay out three different picture cards (e.g., Apple, Dog, Sun). 2. Hand the child a duplicate ""Apple"" card. 3. Ask them to ""Find the one that looks like this"" and place it on top of the matching card.",Two sets of identical flashcards,[Image: Flashcard with a bright sun],[Image: Child matching two identical cards]
105,Treasure Hunt,Cognitive,"1. Hide a noisy toy (like a ticking timer or music box) under a pillow. 2. Ask the child ""Where is the music coming from?"". 3. Encourage them to follow the sound and lift the pillow to reveal the ""treasure"".",Music box or kitchen timer,[Image: Small wind-up music box],[Image: Child listening for a hidden toy]
