Week,Domain,Activity1,Activity2,Activity3
81,Social & Emotional,Emotion Face Game,Name Response,Role Play Shopping
82,Sensory,Texture Basket,Water Drip Watch,Rice Bin Dig
83,Self Help,Toy Shelf Return,Fold Small Cloth,Nap Blanket Fold
84,Gross Motor,Rolling Reach,Stair Crawling,Furniture Cruising
85,Fine Motor,Paper Tear Play,Spoon Transfer,Button Push Toy
86,Speech & Language,Guess The Sound,Describe The Toy,Word Expansion
87,Cognitive,Build Tower Challenge,Shape Sorting,Sorting Basket
88,Social & Emotional,Help Carry Toy,Emotion Story,Pretend Cooking
89,Sensory,Bubble Catch,Ice Touch,Water Splash
90,Self Help,Snack Plate Carry,Carry Small Bag,Shoes Near Door
91,Gross Motor,Push Walker Practice,Animal Walk Game,Tiptoe Walk
92,Fine Motor,Button Push Toy,Large Bead Threading,Finger Painting
93,Speech & Language,Animal Sound Game,Who Is That Game,Picture Pointing
94,Cognitive,Simple Puzzle,Pattern Clap,Sorting Basket
95,Social & Emotional,Clap Together,High Five Game,Toy Sharing
96,Sensory,Rolling Ball Feel,Texture Walk,Baby Massage
97,Self Help,Put Toys In Box,Spoon In Sink,Put Cup On Table
98,Gross Motor,Hop Like Bunny,Backward Walking,Toy Push Across Floor
99,Fine Motor,Paper Crumple Game,Block Stacking,Velcro Pull Game
100,Speech & Language,Rhyming Sounds,Object Naming,Body Part Naming
101,Cognitive,Stack Order Game,Shadow Matching,Sound Guess
102,Social & Emotional,Hug Game,Goodbye Wave,Group Song Time
103,Sensory,Soft Brush Touch,Vibration Toy,Grass Walk
104,Self Help,Toy Shelf Return,Laundry Help,Put Cup On Table
105,Gross Motor,Hop Like Bunny,Stair Crawling,Crawling Toy Chase
106,Fine Motor,Sponge Squeeze,Cup Drop Game,Peg Board Insert
107,Speech & Language,Repeat After Me,Name That Toy,Story Retelling
108,Cognitive,Shadow Matching,Matching Pictures,Toy Sequence
109,Social & Emotional,Goodbye Wave,Dress Up Play,Wave Hello
110,Sensory,Water Splash,Bottle Sound Shake,Sand Play
111,Self Help,Trash In Bin,Put Toys In Box,Spoon Eating
112,Gross Motor,Hop Like Bunny,Ball Kick Game,Dance Movement
113,Fine Motor,Sorting Small Objects,Tape Pull Game,Paper Tear Play
114,Speech & Language,Body Part Naming,Animal Sound Game,Describe The Toy
115,Cognitive,Peekaboo,Two Step Task,Shape Sorting
116,Social & Emotional,Goodbye Wave,Family Photo Talk,Dress Up Play
117,Sensory,Playdough Press,Wind Fan Play,Baby Massage
118,Self Help,Hold Napkin,Hand Washing,Hat On Off
119,Gross Motor,Tiptoe Walk,Ball Kick Game,Tunnel Crawl
120,Fine Motor,Sorting Small Objects,Stacking Cups,Peg Board Insert
121,Speech & Language,Simple Choice Question,Talking Mirror,Animal Sound Game
122,Cognitive,What Is Missing,Color Sorting,Simple Puzzle
123,Social & Emotional,Tickle Game,Mirror Smile,Wave Hello
124,Sensory,Warm Water Dip,Bubble Catch,Water Pouring
125,Self Help,Carry Small Bag,Water Bottle Drink,Laundry Help
126,Gross Motor,Balance Line Walk,Supported Sitting,Animal Walk Game
127,Fine Motor,Block Stacking,Tape Pull Game,Sponge Squeeze
128,Speech & Language,Simple Choice Question,Object Naming,Song Repetition
129,Cognitive,Find The Pair,Pattern Clap,Treasure Hunt
130,Social & Emotional,Friend Doll Play,Goodbye Wave,Pretend Feeding
131,Sensory,Corn Flour Play,Grass Walk,Scent Smell Game
132,Self Help,Shoes Near Door,Put Cup On Table,Fold Small Cloth
133,Gross Motor,Toy Push Across Floor,Follow the Leader,Run and Stop Game
134,Fine Motor,Cloth Peg Pinch,Finger Painting,Spoon Transfer
135,Speech & Language,Question Game,Who Is That Game,Body Part Naming
136,Cognitive,Memory Match,Treasure Hunt,Simple Puzzle
137,Social & Emotional,Happy Dance,Ball Turn Taking,Sharing Snack
138,Sensory,Feather Touch,Fabric Rub Game,Texture Basket
139,Self Help,Fold Small Cloth,Toy Shelf Return,Wipe Table Try
140,Gross Motor,Obstacle Walk,Stair Crawling,Dance Movement
141,Fine Motor,Button Drop Jar,Cup Drop Game,Playdough Squeeze
142,Speech & Language,Picture Pointing,Animal Sound Game,Nursery Rhyme Actions
143,Cognitive,Cup Hide Game,What Is Missing,Cause Effect Toy
144,Social & Emotional,Thank You Practice,Emotion Face Game,Dress Up Play
145,Sensory,Bubble Pop,Feather Touch,Texture Path Crawl
146,Self Help,Hold Napkin,Wipe Table Try,Chair Sitting
147,Gross Motor,Obstacle Walk,Ball Kick Game,Chase the Balloon
148,Fine Motor,Toy Screw Turn,Large Bead Threading,Sorting Small Objects
149,Speech & Language,Who Is That Game,Word Expansion,Sound Imitation
150,Cognitive,Memory Match,Counting Objects,Pattern Copy
151,Social & Emotional,Care For Teddy,Laugh Together,Friend Doll Play
152,Sensory,Playdough Press,Scent Smell Game,Water Drip Watch
153,Self Help,Put Cup On Table,Laundry Help,Finger Feeding
154,Gross Motor,Ball Dribble Push,Tiptoe Walk,Backward Walking
155,Fine Motor,Rubber Band Board,Sticker Peeling,Large Bead Threading
156,Speech & Language,Object Request Game,Picture Book Talk,Picture Pointing
